make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Fiat 500,Fiat,DE,11890,Sedan,Used,3.0,35518.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,12390,Sedan,Used,3.0,26334.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,ES,14300,Sedan,Pre-registered,3.0,500.0,Manual,Benzin,Dealer,51.0,6.0,Euro 6,1.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,13660,Sedan,Used,5.0,13250.0,Manual,Benzin,Dealer,70.0,6.0,Euro 6,2.0,Upgrated,Low,standard
Fiat 500,Fiat,DE,12390,Sedan,Used,3.0,12512.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,11990,Sedan,Used,3.0,11813.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,4.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,24990,Sedan,Pre-registered,5.0,99.0,Manual,Benzin,Dealer,74.0,5.0,Euro 6,0.0,Upgrated,Low,standard
Fiat 500,Fiat,DE,9990,Sedan,Used,3.0,37500.0,Manual,Benzin,Dealer,63.0,5.0,Euro 6,6.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,22990,Sedan,Pre-registered,5.0,99.0,Manual,Benzin,Dealer,74.0,5.0,Euro 6,0.0,Upgrated,Low,standard
Fiat 500,Fiat,DE,12390,Sedan,Used,3.0,29523.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,12390,Sedan,Used,3.0,42724.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,10940,Sedan,Used,3.0,22241.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,2.0,Standart,Low,standard
Fiat 500,Fiat,ES,9900,Sedan,Used,3.0,93200.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,12890,Sedan,Used,3.0,12406.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,12890,Sedan,Used,3.0,24431.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,DE,12890,Sedan,Used,3.0,15127.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,3.0,Standart,Low,standard
